Ticker,Stock Price,Market Capitalization,Number of Stiocks to Buy
FLIR,57.34,7565007314,N/A
FLS,39.51,5183999159,N/A
FLT,265.54,19638651714,N/A
FMC,89.06,11108768627,N/A
FOX,32.45,16953959721,N/A
FOXA,34.6,16953959726,N/A
FRC,3.51,630560307,N/A
FRT,102.21,8332492405,N/A
FTI,18.82,8244450299,N/A
FTNT,59.68,46868908400,N/A
FTV,79.41,27954255619,N/A
GD,226.99,61977933191,N/A
GE,114.6,124728140918,N/A
GILD,80.0,99681148240,N/A
